BfArM: AMIce-ÖFF/ Arzneimittel © BfArM
 ;Nr.;Eingangsnummer;Arzneimittelbezeichnung;Darreichungsform;Zielgruppe;Anwendungsart;Anwendungsgebiete;Indikation/ATC;Bescheiddatum der Zulassung;Zulassungsstatus;Zulassungs-/Reg.-Nr. (AMG 1976), Register-Nr. (AMG 1961) oder Kennziffer;Verkehrsfähigkeit;Parallelimportinformationen;EU-Verfahrensnummer;Zulassungsinhaber;Hersteller/Endfreigabe;Vertreiber;Örtlicher Vertreter;Wirkstoffe;Packungsgrößen-Gruppe/Verkaufsabgrenzung;AM-Klassifikationen
;11;"'2672311";Avastin;Konzentrat zur Herstellung einer Infusionslösung;Mensch;intravenöse Anwendung;Bei diesem Arzneimittel handelt es sich um einen Parallelvertrieb. Den neuesten Stand des Arzneimittels können Sie den Internetseiten der EMA entnehmen.;L01XC07 Bevacizumab;26.06.2014;EMA-notifiziert;EU/1/04/300/002;Ja;;EMEA/H/C/0582;3216120 kohlpharma GmbH;3216120 kohlpharma GmbH;-;-;Bevacizumab (33758) 25 Milligramm;2672311_10, Originalpackung, 16 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)1 AMG [bis 14.AMG-Novelle (06.09.2005) § 49 AMG];SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;12;"'2670784";Avastin;Konzentrat zur Herstellung einer Infusionslösung;Mensch;intravenöse Anwendung;Bei diesem Arzneimittel handelt es sich um einen Parallelvertrieb. Den neuesten Stand zu dem Arzneimittel entnehmen Sie bitte den Seiten der EMA.;L01XC07 Bevacizumab;03.10.2010;erloschen;EU/1/04/300/002;Nein;;EMEA/H/C/0582;3343338 Pharma Gerke Arzneimittelvertriebs GmbH;3343338 Pharma Gerke Arzneimittelvertriebs GmbH;-;-;Bevacizumab ((MW: ca. 149 kDa)) (33758) 25 Milligramm;2670784_10, Originalpackung, -, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)1 AMG [bis 14.AMG-Novelle (06.09.2005) § 49 AMG];SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;13;"'7008847";Avastin 25 mg/ml Konzentrat zur Herstellung einer Infusionslösung;Konzentrat zur Herstellung einer Infusionslösung;Mensch;intravenöse Anwendung;Bei diesem Arzneimittel handelt es sich um einen Parallelvertrieb. Den neuesten Stand des Arzneimittels können Sie den Internetseiten der EMA entnehmen.;L01XC07 Bevacizumab;15.02.2022;EMA-notifiziert;EU/1/04/300/002;Ja;;EMEA/H/C/0582;4612266 SynCo Pharma B.V.;1007347 SynCo pharma B.V. (BS 1) ~ 1009280 Bmodesto B.V. (BS 1);-;-;Bevacizumab (33758) ist gleich 25 Milligramm;7008847_1, Originalpackung, 16 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)1 AMG [bis 14.AMG-Novelle (06.09.2005) § 49 AMG];SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;14;"'2672451";Avastin;Konzentrat zur Herstellung einer Infusionslösung;Mensch;intravenöse Anwendung;Bei diesem Arzneimittel handelt es sich um einen Parallelvertrieb. Den neuesten Stand des Arzneimittels können Sie den Internetseiten der EMA entnehmen.;L01XC07 Bevacizumab;25.08.2014;EMA-notifiziert;EU/1/04/300/002;Ja;;EMEA/H/C/0582;8140835 axicorp Pharma B.V.;8140835 axicorp Pharma B.V.;-;-;Bevacizumab (33758) 25 Milligramm;2672451_1, Originalpackung, 16 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)1 AMG [bis 14.AMG-Novelle (06.09.2005) § 49 AMG];SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;15;"'2675037";Avastin;Konzentrat zur Herstellung einer Infusionslösung;Mensch;intravenöse Anwendung;Bei diesem Arzneimittel handelt es sich um einen Parallelvertrieb. Den neuesten Stand zu dem Arzneimittel entnehmen Sie bitte den Seiten der EMA.;L01XC07 Bevacizumab;18.02.2020;EMA-notifiziert;EU/1/04/300/002;Ja;;EMEA/H/C/0582;3237116 Orifarm GmbH;3237116 Orifarm GmbH;-;-;Bevacizumab (33758) 25 Milligramm;2675037_1, Originalpackung, 16 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)1 AMG [bis 14.AMG-Novelle (06.09.2005) § 49 AMG];SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;16;"'2673733";Avastin;Konzentrat zur Herstellung einer Infusionslösung;Mensch;intravenöse Anwendung;Bei diesem Arzneimittel handelt es sich um einen Parallelvertrieb. Den neuesten Stand des Arzneimittels können Sie den Internetseiten der EMA entnehmen.;L01XC07 Bevacizumab;27.02.2015;EMA-notifiziert;EU/1/04/300/001;Ja;;EMEA/H/C/0582;8140835 axicorp Pharma B.V.;8055874 AxiCorp Pharma GmbH;-;-;Bevacizumab (33758) 25 Milligramm;2673733_1, Originalpackung, 4 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)1 AMG [bis 14.AMG-Novelle (06.09.2005) § 49 AMG];SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;17;"'2672767";Avastin;Konzentrat zur Herstellung einer Infusionslösung;Mensch;intravenöse Anwendung;Bei diesem Arzneimittel handelt es sich um einen Parallelvertrieb. Den neuesten Stand des Arzneimittels können Sie den Internetseiten der EMA entnehmen.;L01XC07 Bevacizumab;11.02.2015;EMA-notifiziert;EU/1/04/300/002;Ja;;EMEA/H/C/0582;8154139 Lunapharm Deutschland GmbH;8154139 Lunapharm Deutschland GmbH;-;-;Bevacizumab (33758) 25 Milligramm;2672767_1, Originalpackung, 16 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)1 AMG [bis 14.AMG-Novelle (06.09.2005) § 49 AMG];SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;18;"'2673897";Avastin;Konzentrat zur Herstellung einer Infusionslösung;Mensch;intravenöse Anwendung;Bei diesem Arzneimittel handelt es sich um einen Parallelvertrieb. Den neuesten Stand des Arzneimittels können Sie den Internetseiten der EMA entnehmen.;L01XC07 Bevacizumab;20.12.2017;EMA-notifiziert;EU/1/04/300/001;Ja;;EMEA/H/C/0582;8144626 hvd medical GmbH;8144626 hvd medical GmbH;-;-;Bevacizumab (33758) 25 Milligramm;2673897_1, Originalpackung, 4 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)1 AMG [bis 14.AMG-Novelle (06.09.2005) § 49 AMG];SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;19;"'2674845";Avastin;Konzentrat zur Herstellung einer Infusionslösung;Mensch;intravenöse Anwendung;Bei diesem Arzneimittel handelt es sich um einen Parallelvertrieb. Den neuesten Stand des Arzneimittels können Sie den Internetseiten der EMA entnehmen.;L01XC07 Bevacizumab;30.10.2019;EMA-notifiziert;EU/1/04/300/001;Ja;;EMEA/H/C/0582;8124859 Abacus Medicine A/S;8124859 Abacus Medicine A/S;-;-;Bevacizumab (33758) 25 Milligramm;2674845_1, Originalpackung, 4 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)1 AMG [bis 14.AMG-Novelle (06.09.2005) § 49 AMG];SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;20;"'2670748";Avastin;Konzentrat zur Herstellung einer Infusionslösung;Mensch;intravenöse Anwendung;Bei diesem Arzneimittel handelt es sich um einen Parallelvertrieb. Den neuesten Stand zu dem Arzneimittel entnehmen Sie bitte den Seiten der EMA.;L01XC07 Bevacizumab;16.08.2010;EMA-notifiziert;EU/1/04/300/002;Ja;;EMEA/H/C/0582;8029457 CC-Pharma GmbH;8029457 CC-Pharma GmbH;-;-;Bevacizumab (33758) 25 Milligramm;2670748_10, Originalpackung, 16 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)1 AMG [bis 14.AMG-Novelle (06.09.2005) § 49 AMG];SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;21;"'2671200";Avastin;Konzentrat zur Herstellung einer Infusionslösung;Mensch;intravenöse Anwendung;Bei diesem Arzneimittel handelt es sich um einen Parallelvertrieb. Den neuesten Stand zu dem Arzneimittel entnehmen Sie bitte den Seiten der EMA.;L01XC07 Bevacizumab;14.01.2010;EMA-notifiziert;EU/1/04/300/002;Ja;;EMEA/H/C/0582;8050167 EurimPharm Arzneimittel GmbH;8050167 EurimPharm Arzneimittel GmbH;-;-;Bevacizumab (33758) 25 Milligramm;2671200_1, Originalpackung, 16 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)1 AMG [bis 14.AMG-Novelle (06.09.2005) § 49 AMG];SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;22;"'2670747";Avastin;Konzentrat zur Herstellung einer Infusionslösung;Mensch;intravenöse Anwendung;Bei diesem Arzneimittel handelt es sich um einen Parallelvertrieb. Den neuesten Stand zu dem Arzneimittel entnehmen Sie bitte den Seiten der EMA.;L01XC07 Bevacizumab;16.08.2010;EMA-notifiziert;EU/1/04/300/001;Ja;;EMEA/H/C/0582;8029457 CC-Pharma GmbH;8029457 CC-Pharma GmbH;-;-;Bevacizumab (33758) 25 Milligramm;2670747_10, Originalpackung, 4 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)1 AMG [bis 14.AMG-Novelle (06.09.2005) § 49 AMG];SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;23;"'2672003";Avastin;Konzentrat zur Herstellung einer Infusionslösung;Mensch;intravenöse Anwendung;Bei diesem Arzneimittel handelt es sich um einen Parallelvertrieb. Den neuesten Stand des Arzneimittels können Sie den Internetseiten der EMA entnehmen.;L01XC07 Bevacizumab;03.12.2012;EMA-notifiziert;EU/1/04/300/001;Ja;;EMEA/H/C/0582;8120442 AASTON HEALTHCARE GmbH;8120442 AASTON HEALTHCARE GmbH;-;-;Bevacizumab (33758) 25 Milligramm;2672003_1, Originalpackung, 4 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)1 AMG [bis 14.AMG-Novelle (06.09.2005) § 49 AMG];SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;24;"'2672756";Avastin;Konzentrat zur Herstellung einer Infusionslösung;Mensch;intravenöse Anwendung;Bei diesem Arzneimittel handelt es sich um einen Parallelvertrieb. Den neuesten Stand des Arzneimittels können Sie den Internetseiten der EMA entnehmen.;L01XC07 Bevacizumab;11.02.2015;EMA-notifiziert;EU/1/04/300/001;Ja;;EMEA/H/C/0582;8154139 Lunapharm Deutschland GmbH;8154139 Lunapharm Deutschland GmbH;-;-;Bevacizumab (33758) 25 Milligramm;2672756_1, Originalpackung, 4 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)1 AMG [bis 14.AMG-Novelle (06.09.2005) § 49 AMG];SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;25;"'2673948";Avastin;Konzentrat zur Herstellung einer Infusionslösung;Mensch;intravenöse Anwendung;Bei diesem Arzneimittel handelt es sich um einen Parallelvertrieb. Den neuesten Stand des Arzneimittels können Sie den Internetseiten der EMA entnehmen.;L01XC07 Bevacizumab;23.02.2015;EMA-notifiziert;EU/1/04/300/002;Ja;;EMEA/H/C/0582;8055874 AxiCorp Pharma GmbH;8055874 AxiCorp Pharma GmbH;-;-;Bevacizumab (33758) 25 Milligramm;2673948_1, Originalpackung, 16 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)1 AMG [bis 14.AMG-Novelle (06.09.2005) § 49 AMG];SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
